id,sentence
210,Aggregate three-month moving average Liquidity Coverage Ratios (LCRs) have reduced slightly since the July FSR (Table 4.A).
211,The normalisation of the Bank’s balance sheet has continued as the extraordinary measures put in place following the GFC and Covid pandemic have been unwound further.
212,"In October, banks repaid £30 billion of TFSME drawings as they fell due."
213,This brings the outstanding TFSME amount to £42 billion from £193 billion outstanding in 2021.
214,"As expected, gilt repo rates rose temporarily at the end of October, in part due to the reduction in reserves, but retraced following usage of the Bank’s facilities."
215,"4.2: UK banks’ provision of credit to households and businesses Aggregate lending has continued to increase year-on-year, with gross household and corporate lending flows above or around pre-Covid levels."
216,"Following a decline in 2025 Q2 that reflected the impact of buyers bringing mortgage purchases forward to Q1 ahead of the stamp duty changes, mortgage activity picked up in Q3, including the proportion of new loans at higher LTI and LTV ratios."
217,This was driven by stronger-than-expected demand and an easing in lending conditions.
218,Some of this easing reflected banks reducing stress rates on mortgage lending in response to the FCA’s clarification of its Mortgage Conduct of Business (MCOB) rules (Section 3).
219,"Looking forward, there may be further increases in lending at higher LTV and LTI ratios as the full impact of the FCA clarification feeds through, along with effect of the adjustment made by the PRA to the application of the LTI flow limit, following the FPC’s updated recommendation in Q2 (Section 3)."
220,"This is supported by evidence from the most recent Credit Conditions Survey – 2025 Q3 (CCS), where lenders reported expectations of further increases in mortgage availability in Q4."
221,"Lending by banks to large corporates and SMEs has continued to increase since the July FSR, with SMEs recording four consecutive months of annualised net lending growth for the first time since 2021."
222,Increased competition is said to be contributing to compressed spreads and an easing in some loan terms.
223,"But the Agents note some pockets of increased demand, and lenders noted a slight increase in demand in the CCS."
224,Chart 4.2: A fall in gross lending volumes from banks and building societies in 2025 Q2 reflected the impact of mortgage activity brought forward to the first quarter.
225,"Maintaining a neutral setting of the UK CCyB in the region of 2% should help to ensure that banks continued to have capacity to absorb unexpected future shocks without an unwarranted restriction in essential services, such as the supply of credit, to the UK real economy."
226,"As PTF activities often involve high volumes of intraday trading, this can result in banks’ intraday exposures, through their PTF clients, exceeding end-of day positions."
227,"The PRA’s 2025 list of priorities for UK Deposit Takers raised counterparty credit risk as a continued area of focus, in particular exposures to NBFIs.[10]"
228,"This assessment weighs the macroeconomic costs of capital, which stem from the impact of higher capital pushing up on borrowing costs, against the benefits of capital, which come about because higher bank capital reduces the likelihood and costs of financial crises."
229,The Committee judges that the appropriate benchmark for the system-wide level of Tier 1 capital requirements is now 1 percentage point lower at around 13% of RWAs – equivalent to a Common Equity Tier 1 (CET1) ratio of around 11%.
230,"This 13% benchmark for Tier 1 capital requirements comprises an underlying optimal level of 11%, inclusive of the neutral rate for the UK CCyB, and an additional 2 percentage points to account for outstanding gaps and shortcomings in the measurement of RWAs."
231,"The 7½ percentage point fall in banks’ average risk weights (measured excluding central bank reserves) since the beginning of 2016 means that the FPC’s previous Tier 1 benchmark is now associated with around £60 billion less nominal capital, based on the size of current balance sheets, than would have been the case absent the fall in risk weights; systemic buffers are lower than envisaged in 2015 as some banks have decreased in systemic importance; and the implementation of Basel 3.1 on 1 January 2027 will improve risk measurement, allowing the Prudential Regulation Authority (PRA) to reduce Pillar 2A minimum requirements by around ½ percentage point."
232,"As a result, the level of system-wide Tier 1 capital requirements is expected to fall to around 13% of RWAs when Basel 3.1 is implemented, consistent with the FPC’s updated benchmark."
233,"Since the FPC’s previous assessments, the banking system has supported the real economy through several macroeconomic shocks, including those related to Covid and Russia’s invasion of Ukraine."
234,"As the economic outlook improved following recent shocks, credit conditions for households and businesses improved commensurately and have since evolved in line with the macroeconomic outlook."
235,Higher returns on tangible equity (RoTE) – and investors’ increasing confidence that those returns can be sustained – have supported a material increase in UK banks’ equity market valuations (Section 4).
236,"Major UK banks’ average price to tangible book ratio is above 1, indicating that investors expect RoTE to be above the level needed to compensate them for the perceived riskiness of those returns (referred to as the ‘cost of equity’)."
237,"Relatedly, there is evidence that the premium investors demand to hold UK banks’ equity relative to their debt has fallen, which reduces the cost to banks of increasing their share of equity funding relative to debt funding, all else equal."
238,"Major UK banks have also continued to return capital to shareholders through buybacks and dividends, totalling around £90 billion over the past three years."
239,Analysis suggests that materially lower capital requirements could lead to significant reductions in long-run expected GDP.
240,"Those judgements were related to credible and effective resolution arrangements, effective supervision, structural reform such as the implementation of ring-fencing, and the Committee’s active use of the time-varying CCyB. Together, these judgements materially reduced the FPC’s assessment of the appropriate level of capital in 2015."
241,Analysis also suggests that reducing system-wide capital requirements materially below the FPC’s updated benchmark of 13% (unless due to further improvements in risk measurement that allow overlaps to be removed from Pillar 2A requirements) could be associated with significant reductions in long-run expected GDP through the costs of greater instability – especially if those reductions in capital were to undermine the credibility of the resolution regime as a result of lower overall loss-absorbing capacity.
242,The FPC would expect banks to use any such changes as a means to increase their support of households and businesses in the real economy.
243,"But to the extent that incentives to maintain excess capital can be reduced by enhancing buffer usability, this could allow banks to support a material increase in lending."
244,The reduction of the FPC’s important Tier 1 benchmark to 13% should also provide banks with greater certainty and confidence to use their existing capital to support lending to the real economy.
245,"As a result, the FPC will review how the leverage ratio has been implemented in the UK, how it is operating in practice, how it is interacting with other policies such as ring-fencing, and whether this matches the original intention of the framework."
246,"For example, the FPC will explore the extent to which the leverage ratio has become more binding as a result of underlying reductions in the riskiness of banks’ exposures."
247,"Global trading relationships fragment, leading to severe supply chain disruptions, which contributes to a large fall in world trade volumes."
248,UK GDP falls by 5% and unemployment rises to 8.5%.
249,World GDP falls by 2%.
250,"Increased risk aversion leads to large falls in asset prices, while elevated sovereign debt levels in advanced economies put further upward pressure on government bond yields."
251,"Credit growth slows in the early part of the stress reflecting lower credit demand and a worsening economic outlook, however it recovers in the later years and lending to the UK real economy is assumed to increase by more than 6.5% over the scenario horizon."
252,"The banking system starts the test in a strong capital position, with a Common Equity Tier 1 (CET1) capital ratio of 14.5% in aggregate."
253,"The aggregate CET1 capital ratio falls to a low point of 11.0% in the first year of the stress, which equates to an aggregate capital drawdown of 3.5 percentage points."
254,It falls to a low point of 4.7% in the first year of the scenario.
255,"At the low point, capital remains around £60 billion above the sum of aggregate minima and systemic buffers, indicating that the UK banking system would be resilient to the severe but plausible scenario and would have the capacity to continue lending to creditworthy households and businesses throughout the stress."
256,No individual bank is required to strengthen its capital position as a result of the test.
257,"The key drivers of the capital drawdown are an increase in credit impairments (Section 5.3) and traded risk losses (Section 5.4), which are only partially offset by higher NII in the first year of the stress (Section 5.5)."
258,5.3: Credit impairments Banks incur credit impairments of £112 billion over the test.
259,Credit impairments reduce the aggregate CET1 capital ratio by 3.3 percentage points at the low point (year 1).
260,UK consumer credit impairments are £29.3 billion which is lower than in the 2022/23 ACS.
261,"As set out in Box E, the Bank has reviewed past judgements and recent evidence on consumer credit quality and has allowed for lower consumer credit loss rates in the 2025 Bank Capital Stress Test than in past exercises."
262,The less severe inflation path in this test has also reduced the affordability impact.
263,"Non-UK consumer credit impairments are £19 billion, which is lower than in the 2022/23 ACS."
264,This is due to improved asset quality in non-UK consumer lending which includes a range of countries and products.
265,"There are common drivers of impairments across corporate portfolios – for example 70% of banks reported impairments were from sectors judged vulnerable to rising costs, trade disruption and higher interest rates."
266,"UK CRE impairment rates are broadly unchanged since the 2022/23 ACS, as price falls over the previous 18 months have contributed to increased LTV ratios."
267,"This is significantly lower than in the 2022/23 ACS, primarily driven by a reduction in CRE losses in Hong Kong and China."
268,The period since the last ACS has seen a significant crystallisation of losses against which banks have set aside substantial provisions (£6.4 billion).
269,"While material risks remain in the sector, the worst quality assets have been written off, and the remaining total exposure is reduced by about 40%."
270,"The five-year impairment rate across all leveraged lending exposures was 13%, compared to less than 8% in the global financial crisis (GFC)."
271,Corporates are assumed to increase their usage of revolving credit facilities – at a drawdown rate of 80% – throughout the five-year scenario.
272,This reflects the fact that a large majority of UK mortgages on banks’ books currently have an LTV ratio of below 70%.
273,Chart 5.2 shows that increasing the UK house price fall beyond 30% would tend to have an increasing marginal impact on bank losses as a greater proportion of their lending would be secured on collateral worth less than the value of the loan.
274,"For instance, if the fall in UK house prices were 10 percentage points greater, aggregate UK mortgage impairments would be around twice as great as in the Bank Capital Stress Test."
275,5.4: Traded risk The traded risk scenario reduces banks’ aggregate CET1 capital ratio by 0.8 percentage points in the first year of the stress.
276,"In the traded risk scenario, global equity prices decline sharply, with the FTSE All-Share index falling by 48%, and the S&P 500 falling 57%."
277,"Measures of market-implied volatility also rise, with the Chicago Board Options Exchange Volatility Index (VIX) increasing to a peak of 45."
278,The 10-year UK government bond yield increases by 210 basis points at its peak.
279,"Overall, the net impact of these factors reduces banks’ capital by around £15 billion, equivalent to 0.8 percentage points of the CET1 capital ratio."
280,"Revenues decline in the first year of the stress, driven by a sharp fall in fees from advisory activities, though they are somewhat supported by resilient client trading activities in response to increased financial market volatility."
281,"However, this revenue is offset by £35 billion of losses due to the stress scenario leading to losses in fair-value through other comprehensive income securities, trading inventories and related valuations adjustments."
282,"Higher interest rates and a higher spread between government bond yields and OIS rates in the scenario lead to lower fair value of bond holdings in banks’ liquid asset buffers, which contributed to a £15.5 billion reduction in capital."
283,"Trading book losses from market risk shocks, defaults of selected vulnerable counterparties and valuation adjustments contributed to a £19 billion reduction in capital, reflecting the sudden and severe shocks to financial markets."
284,It is also driven by banks’ ability to invest non- interest-bearing liabilities and equity in fixed-interest bearing assets referred to as structural hedge portfolios.
285,"Over recent years, as interest rates increased from historically low levels, loan margins recovered to be in line with historical averages (Chart 5.3)."
286,"First, it is assumed that spreads on lending to UK households and businesses increase by only a limited amount that reflects higher expected credit losses on new loans."
287,"For example, spreads between mortgage rates and risk-free interest rates are assumed to widen only to around 80 basis points in the test, compared to around 60 basis points at the start of the stress scenario."
288,"Second, as interest rates increase many customers would move deposits from accounts that pay no interest to deposit accounts that do pay interest."
289,"In aggregate the share of deposit balances that are non-interest bearing is assumed to decline over the five years of the scenario and ends 15 percentage points below its peak, at a similar level to that seen prior to the GFC."
290,"Third, it is assumed that banks pass through around 70% of the increase in Bank Rate to sterling deposit rates within the first year of the stress."
291,"It is somewhat less than the 80%– 90% pass through in the later stages of that cycle, though this estimate may also include some impact from earlier increases continuing to pass-through."
292,Sensitivity analysis suggests that a 10 percentage point change in the deposit pass-through rate on sterling deposits would be expected to affect the aggregate CET1 capital ratio by around 15 basis points at the low point of the stress in year 1 (Chart 5.4).
293,"In the first year of the stress, average risk weights for credit exposures increase from 33% to 37%, as these exposures become riskier during the stress."
294,The increase in risk-weights puts downward pressure on CET1 capital ratios – defined as CET1 capital as a percentage of RWAs – and they fall as RWAs increase.
295,"Expenses increase materially in later years, as the effect of higher consumer prices feeds through to a rise in staff and non-staff costs."
296,"In aggregate, costs increase by 8% over the scenario, compared to a 23% increase in UK consumer prices over the same period."
297,"In the 2025 stress test, the aggregate stressed projection for misconduct costs is £13.6 billion over the five years of the stress, with around £4.5 billion of these realised in the first year."
298,"As in previous stress tests, banks’ resilience relies in part on their ability in a stress to cancel ordinary dividend payments, employee variable remuneration, and coupon payments on Additional Tier 1 instruments, as well as other management actions taken in response to the stress."
299,"In the 2025 stress test, SMAs support the aggregate CET1 capital ratio by 0.8 percentage points and the aggregate leverage ratio by 0.3 percentage points."
300,"The earlier recognition of losses under IFRS 9 enhances transparency and market confidence in measures of banks’ capital positions, including in a downturn, thereby supporting financial stability and the safety and soundness of individual banks."
301,"All else equal, bank capital, as measured under IFRS 9, is likely to fall more sharply in the early part of a stress as capital is drawn down earlier to raise provisions."
302,"In previous stress tests following the introduction of IFRS 9, temporary measures were used to manage the capital impacts of using IFRS 9 while an enduring solution was identified."
303,"This has resulted in a number of changes relative to previous concurrent stress tests, which the Bank has judged to be appropriate to make alongside the earlier provisioning under the IFRS 9 accounting standard: To reflect the impact of IFRS 9 when setting the PRA buffer, the Bank will assume a CCyB rate that reflects the FPC’s judgement that it would set the neutral rate for the UK CCyB around 2%.[20]"
304,"In aggregate, this additional drawdown is worth around 0.5 percentage points of CET1 capital, taking into account each bank’s proportion of UK exposures in its risk-weighted assets."
305,This has resulted in a scenario that is more closely aligned to the average of historical advanced-economy stresses and the GFC and has led to some credit losses being recognised later in the exercise.
306,This change has contributed to a reduction in the aggregate proportion of five-year losses in the first year of the stress scenario from 59% in the 2022/23 Annual Cyclical Scenario to 52% in the 2025 Bank Capital Stress Test.
307,This updated methodology has resulted in the start-to-trough changes in some variables being somewhat smaller over the scenario horizon than they otherwise would have been.
308,The removal of past judgements is estimated to reduce the five-year impairment rate on UK unsecured personal credit portfolios in the 2025 Bank Capital Stress Test by 4.6 percentage points.
309,"For some banks, this is because other capital buffers, such as the CCyB and CCoB, would be sufficient to absorb the losses in the scenario."
310,"(a) For the purpose of the Bank’s assessment, the capital impact of IFRS 9 is estimated using the CRR ‘Quick Fix’, assuming 100% relief for relevant provisions."
311,"As well as avoiding an unwarranted increase in capital requirements, the changes implemented in this year’s test have had a number of other benefits."
312,"If asset values fall below agreed thresholds, funds may need to post additional collateral or repay part of the loan to maintain compliance with covenants of the loan agreement."
313,"In addition, banks reported committed limits of £37 billion to UK corporates which are majority-owned by financial sponsors, including private equity funds."
314,This lending tends to be riskier than other types of lending to businesses due to high levels of debt on the underlying corporates’ balance sheets.
315,Loss rates on private market fund financing lines have historically been low… Banks have explained historically low loss rates on private market fund financing lines to be supported by capital commitments from large institutional investors and diverse asset pools with low loan to value ratios.
316,"The spread between gilt repo rates and Bank Rate has consistently been around its recent average, with the exception of expected periods of elevated repo rates such as period end, or following large repayments of the Term Funding scheme with additional incentives for Small and Medium-sized enterprises (TFSME)."
317,"In contrast, firms such as insurers and pension funds, who had the highest demand for gilts historically, especially at longer maturities, have become less active as higher nominal yields improve their funding ratios, and an ageing population may encourage funds to shift toward shorter-term assets to ensure liquidity for paying current benefits."
318,"Leveraged market participants can often serve a useful function by warehousing risk and intermediating between different types of market participants, thereby improving market liquidity and price discovery."
319,"Hedge fund net gilt repo borrowing has continued to increase since the July FSR, reaching close to £100 billion in November, the highest since data collection began in 2017 (Chart 6.2)."
320,Net borrowing in gilt repo markets by hedge funds is concentrated and heavily driven by international firms.
321,"Hedge fund leveraged positions in the gilt repo market are predominantly driven by entities that are managed outside the UK, with hedge funds managed by US managers accounting for around 60% of hedge funds’ total net gilt repo borrowing (Chart 6.3).[27]"
322,"Chart 6.3: Hedge fund activity in the gilt repo market is predominantly driven by non-UK managed funds Net repo borrowing of hedge funds and insurers, pension schemes and LDI funds by fund manager domicile (a) (b) Sources: Global Legal Entity Identifier Foundation (GLEIF) Level 1 and Level 2 data, SMMD and Bank calculations."
323,"At present, the cash-futures basis trade is one where hedge funds purchase gilts (financed via repo, typically provided by banks) and sell gilt futures contracts, taking advantage of the discrepancy of the forward price of the gilt and the price of the futures contract into which it can be delivered, and therefore benefiting from the small price differential."
324,"The repo leg of this trade can often be done at a zero haircut, sometimes because dealers are able to net with margins of the offsetting futures, or other positions, in the same client portfolio.[28] Hedge fund gilt repo borrowing is often done at short maturities, often overnight, and so requires regular refinancing to maintain positions."
325,The small number of funds running crowded and heavily leveraged trades in the gilt repo market increases the potential risk of sharp moves as funds could need simultaneously to deleverage in response to a shock.
326,"The July 2025 Financial Stability Report outlined four common triggers that could lead to forced or widespread deleveraging of leveraged trades.[29] Forced or widespread deleveraging would have the result of amplifying initial moves and potentially triggering a feedback loop of further forced selling, especially if funding conditions tightened to the extent that refinancing became unavailable or prohibitively expensive."
327,"Banks’ potential unwillingness to roll repo financing due to counterparty concerns or balance sheet constraints, was a key finding of last year’s SWES."
328,"In addition, prime brokers have limited visibility of their clients’ portfolios across counterparties and therefore can be unaware of the total leveraged exposure of their counterparties."
329,"Markets have broadly seen the defaults of First Brands and Tricolor as driven by company-specific challenges, including alleged fraud, with no material repricing in credit markets (Section 2)."
330,"However, it is prudent for market participants to assess fully what lessons can be learned from these defaults, including what they could reveal about wider risks to individual firms and to global financial stability arising from the private markets and risky credit ecosystems – despite the fact that these two companies only used limited private financing."
331,The opacity and complex structures may have been a contributing factor that allowed significant alleged fraud to go undetected for a period.
332,"There has been increased use of confidential rating assessments in recent years, both in the form of Private Letter Ratings (PLRs) and through less comprehensive assessments via credit opinions (or estimates) – an informal, point-in-time assessment of credit worthiness."
333,Data on the use of these private assessments is limited but BIS research has highlighted the growing use of PLRs in parts of the US insurance market (23% of PE-linked insurers and 8% of non PE-linked investments used PLRs at end-2024).
334,"One example of the growing use of credit estimates is S&P, who have reported the volume of credit estimates they provide has more than doubled since 2021, with growth especially among CLO managers."
335,"This has led to funds increasingly using other strategies to provide returns to investors, such as continuation vehicles that transfer ownership of selected portfolio companies to a new fund."
336,"In light of this, the Bank will undertake a SWES exercise focused on the private markets ecosystem, which will aim to: Explore risks and dynamics associated with private market finance through understanding the actions taken by banks and NBFIs active in private markets in response to a shock, and how these actions may interact at a system level."
337,"The SWES will improve the Bank’s understanding of the behaviours of banks and NBFIs active in the private markets ecosystem in response to a downturn, and whether those behaviours will amplify stress across the financial system and pose risks to UK financial stability."
338,"Liquidity Globally, the assets under In December 2023, the FSB published a set of mismatch in management of OEFs primarily revised policy recommendations to address open-ended investing in UK equities, sterling structural vulnerabilities from liquidity mismatch in funds (OEFs) government bonds, sterling corporate OEFs, complemented by new International bonds, and UK property totalled Organization of Securities Commissions (IOSCO) around £234 billion, £51 billion, £85 guidance on anti-dilution liquidity management billion, and £13 billion respectively as tools."
339,"The policy positions, or as deleveraging leads to recommendations propose a robust set of metrics forced sales, which in turn could and policy tools (eg activity and entity-based amplify shocks and lead to market measures) to monitor leverage as well as contain dysfunction and a potential tightening the financial stability risk of leverage."
340,The FCA is reviewing its data collections to the-counter derivatives in 2022 has ensure its reporting regimes support the been estimated at almost $90 trillion.
341,"The Bank launched a $48 trillion, or 50% of global GDP."
342,"Recommendations cover dash for cash, initial margin liquidity risk management and governance, requirements at UK CCPs increased stress testing and scenario design, and by around 31% to £58 billion, and collateral management practices."
343,"Exacerbated by limited dealer The FPC also welcomed the progress the Bank had intermediation capacity, these events made in developing a new lending facility, the have led to periods of forced selling Contingent NBFI Repo Facility (CNRF), to address of gilts by NBFIs and self-reinforcing severe market dysfunction in the gilt market that price spirals, threatening UK financial threatens UK financial stability arising from shocks stability."
344,"In 2025, the National Cyber Security Centre (NCSC) reported over 200 nationally-significant cyber incidents, up from 62 in 2023."
345,This increase in risk reflects increased geopolitical tensions and advances in technology.
346,"New technologies such as AI and Distributed Ledger Technology (DLT) provide benefits to some firms, and increased automation may reduce operational risks."
347,"Further, because cyberdefence can be challenging and costly for smaller firms (Box A), Boards, firms and FMIs should consider the appropriate level of assurance that their material third parties – which may be smaller firms – are sufficiently resilient to operational risks."
348,"This can include losses sustained due to business interruption, as well as the costs incurred from responding to and recovering from an attack or incident."
349,"For example, a 2025 DSIT report found that for UK small and medium businesses, insurance may be unaffordable, especially for firms with limited security budgets."
350,"As part of wider efforts to improve resilience to cyber risks, there is an opportunity for greater collaboration between insurers and other financial firms to increase the visibility of financial impacts arising from cyber risks and the role of insurance risk transfer."
351,"A range of digital assets utilise this technology, including but not limited to, unbacked crypto, stablecoins, and tokenised deposits and other tokenised assets backed by traditional instruments such as bonds and equities."
352,"The FPC welcomes this work, recognising both the transformative potential of technology associated with stablecoins and that there is a risk of reduced lending to businesses and households as the economy adjusts to these new forms of money."
353,"For example, total global assets under management in crypto-based exchange traded funds have increased from $40 billion in 2022 to $190 billion in 2024."
354,Higher carbon prices also increase corporate credit risks due to higher costs and lower expected revenues for businesses.
355,"In the physical risk-focused scenario, losses are driven by the increased frequency and severity of extreme weather events as global temperatures rise, which would have a severe negative impact on GDP and corporate earnings."
356,"For example, a severe macro shock associated with transition risks could lead to a 16% fall in government bond prices."
357,"The physical risk-focused scenario leads to a smaller fall in government bond prices of around [37] 8%, largely because there is limited interest rate risk in the scenario used – even though the negative GDP impact of the physical risk-focused scenario is much larger than in the transition risk- focused scenario."
358,"Corporate bond and equity prices could also fall as these scenarios are priced in, with UK corporate bond prices falling by 12% and the FTSE All-Share index falling in value by around 24% under the transition risk scenario."
359,"For example, corporate bonds issued by firms in the transport and mining and quarrying sectors could fall in value by as much as 60% as investors price in lower cash flows and higher costs related to transition policies."
360,"For example, institutional investors could be required to sell corporate bonds if they were downgraded from investment grade to high yield or be forced to sell assets to meet liquidity needs from redemptions or margin calls on leveraged exposures."
361,Such actions could increase the corporate bond price impact of the transition-focused scenario by around 4 percentage points.
362,"These businesses are vulnerable to increases in carbon prices, which can occur as a result of government policy, but also in response to increases in gas prices."
363,Banks could face losses on their lending secured on buy-to-let properties as an EPC rating of ‘C’ or above could become a minimum requirement for rentability as early as 2028.
364,"Losses to banks from flooding are also mitigated by the high availability of flood insurance, including due to the presence of Flood Re (more information below)."
365,"Most UK mortgages have an LTV ratio below 70%, and the FPC’s loan to income (LTI) flow limit provides protection against the UK household sector becoming overly indebted."
366,"As set out in the November 2024 Financial Stability Report, the shorter-term financial impact of flooding on households is likely to be limited due to strong flood insurance coverage and affordability relative to other countries."
367,"This is in part due to Flood Re – a joint reinsurance initiative between the Government and the insurance industry, which promotes the affordability and availability of insurance for households at high risk of flooding.[39] Credit risks to banks from physical hazards are also currently mitigated by high insurance coverage."
368,But recent estimates by the Environment Agency suggest that the number of households at risk of flooding could increase from 6.3 million in 2024 to 8 million by 2050.
369,"Further, Flood Re is due to end in 2039 and has a statutory objective to manage the insurance market’s transition to a post- Flood Re pricing model."
370,"Taken together, these changes could lead to decreases in insurance coverage due to insurers withdrawing from certain regions, or pricing becoming unaffordable for households."
371,This could pose financial stability risks in the long term by negatively affecting: Households – through lower house prices due to uninsurability and the costs of repair from physical damages as well as difficulty remortgaging a property if there is a lack of available insurance.
372,Banks – through higher losses on lending to households and businesses affected by flooding.
373,Investment in physical resilience and actions to enhance financial resilience could be beneficial to UK financial stability by supporting insurability as physical risks increase.
374,"On 27 June 2025, the FPC made the Recommendation (25/Q2/1) that: The PRA and FCA should together (i) aim to ensure that the aggregate flow of new residential mortgages from mortgage lenders at loan to income ratios (LTIs) at or greater than 4.5 does not exceed 15% of total new residential mortgages, and (ii) allow individual lenders to increase their share of lending at such high LTIs while aiming to ensure the aggregate flow remained consistent with the limit of 15%."
375,"The FPC recognises that, in doing so, such high LTI lending by individual lenders could exceed 15% of their total number of new residential mortgages while the aggregate flow remains consistent with the 15% limit."
376,"Other FPC policy decisions which remain in place The following text sets out previous FPC decisions, which remain in force, on the setting of its policy tools."
377,"Under PRA rules, foreign CCyB rates applying from 2016 onwards will be automatically reciprocated up to 2.5%."
378,The FPC supported this targeted enhancement of the UK bank resolution regime which had helped to ensure the regime remains fit for purpose and ready for use.
379,"As a result, the FPC reissued the O-SII buffer rates for 2024 to reflect this updated framework."
380,"Having regard to the interaction between monetary and macroprudential policy, the Committee confirmed the appropriateness of continuing to exclude central bank reserves from the leverage ratio, and of not recalibrating the minimum leverage ratio requirement of 3.25% to reflect an increase in reserves since 2016."
381,Annex 2: 2025 Bank Capital Stress Test: bank-specific results The 2025 Bank Capital Stress Test assessed the resilience of the major UK banks and building societies against a severe negative global supply disruption that led to deep recessions across global economies.
382,"UK-focused banks – Lloyds Banking Group, Nationwide Building Society, NatWest Group and Santander UK Group Holdings plc were most affected by the UK macroeconomic stress, driven by higher interest rates, inflation, unemployment and house price falls."
383,The results incorporate losses against the following key risk types: Credit impairments were the main source of losses for banks.
384,"If a bank does not have sufficient CET1 capital to meet 75% of the leverage ratio minimum requirement and 100% of its leverage ratio buffers (as required by PRA rules), Additional Tier 1 capital has been capped at 25% of the leverage ratio minimum requirement for the purpose of calculating the Tier 1 leverage ratio."
385,"The corset was a mechanism that penalised banks for rapidly expanding their deposits, thus constraining the rate at which banks could increase their domestic lending."
386,"The higher cost of living, which is particularly pronounced on vulnerable households, is estimated to increase impairments relative to the scenario starting point by 4% for mortgages and 20% for consumer credit."
387,"This is an improvement relative to the 2022/23 ACS, which reflects that households are more resilient due to increased real incomes as wage growth has outpaced inflation since the 2022/23 ACS and a lower inflation peak in this year’s test."
388,"In 2019 the FPC raised the rate at which it expects to set the UK CCyB in a standard risk environment from 1% to 2%, alongside which the PRC implemented proposals to reduce minimum capital requirements in a way that left overall loss- absorbing capacity in the banking system broadly unchanged."
389,This was intentionally not reflected in the stress-testing framework at the time as to do so would have resulted in a change in the PRC’s risk tolerance.
390,"On 28 November 2025, CME group suffered an outage across a number of its currency and futures markets, reported to have been linked to a cooling failure in a data centre."
391,"Services resumed later the same day, and impacts were limited due to it happening during a public holiday in the US."
392,But the effect of lower risk premia on bond prices is significantly outweighed by the increased duration risk.
